fips,county_name,pop_total,ice_raceinc,ice_quintile_popwt,dep_index,dep_quintile_popwt,svi_overall,svi_ses,pct_below_poverty,median_hh_income,pct_crowding
01001,"Autauga County, Alabama",58761,0.20939,3,-0.4624171315513106,2,0.2663,0.2367,11.3,72481.0,1.7
01003,"Baldwin County, Alabama",233420,0.26423,4,-0.6208555327572507,2,0.3487,0.3433,10.1,78775.0,1.6
01005,"Barbour County, Alabama",24877,-0.10603,1,0.891937867963841,5,0.9927,0.9399,21.4,46042.0,1.8
01007,"Bibb County, Alabama",22251,0.06014,1,0.7429337582406285,5,0.8451,0.8893,22.5,52541.0,1.7
01009,"Blount County, Alabama",59077,0.22626,3,0.2651493378475995,4,0.6166,0.6866,12.9,64190.0,2.4
01011,"Bullock County, Alabama",10328,-0.27072,1,1.9484172583069346,5,0.8985,0.8654,33.3,31310.0,4.1
01013,"Butler County, Alabama",18981,-0.04221,1,0.6322208848266803,5,0.6872,0.8441,22.4,44755.0,0.6
01015,"Calhoun County, Alabama",116162,0.08212,2,0.26832972446224124,4,0.8145,0.854,17.9,55029.0,1.5
01017,"Chambers County, Alabama",34612,0.01758,1,0.6539458386824697,5,0.8295,0.7171,15.7,49656.0,3.7
01019,"Cherokee County, Alabama",25069,0.15765,2,0.341410007203691,5,0.406,0.6077,14.8,53863.0,1.3
01021,"Chilton County, Alabama",45140,0.17311,3,0.22648963076501788,4,0.5336,0.5924,14.0,65603.0,2.6
01023,"Choctaw County, Alabama",12669,-0.00937,1,0.4459117386990833,5,0.6548,0.6901,16.5,47813.0,1.2
01025,"Clarke County, Alabama",23058,-0.03285,1,0.48187859701781327,5,0.8365,0.8412,20.1,49249.0,1.4
01027,"Clay County, Alabama",14209,0.12671,2,0.5455975301244702,5,0.6223,0.7235,17.6,55250.0,2.7
01029,"Cleburne County, Alabama",15144,0.16629,2,0.2975286197820829,5,0.5196,0.4938,13.7,55345.0,2.9
01031,"Coffee County, Alabama",53559,0.14949,2,0.0651210044699275,4,0.6802,0.6497,16.7,68353.0,1.7
01033,"Colbert County, Alabama",57270,0.11846,2,0.11942457535011856,4,0.4467,0.4944,17.4,60628.0,1.1
01035,"Conecuh County, Alabama",11576,-0.04357,1,0.8254818401611732,5,0.5122,0.5272,27.8,41327.0,1.8
01037,"Coosa County, Alabama",10329,0.09052,2,0.3039317069269949,5,0.4808,0.3513,13.1,57355.0,2.7
01039,"Covington County, Alabama",37542,0.1471,2,0.40615164878015564,5,0.7121,0.7509,19.2,52456.0,1.2
01041,"Crenshaw County, Alabama",13205,0.0343,1,0.4567371118814146,5,0.685,0.7588,17.9,48560.0,1.6
01043,"Cullman County, Alabama",88284,0.21489,3,0.2092117996911224,4,0.4909,0.5323,15.3,62656.0,2.6
01045,"Dale County, Alabama",49455,0.06407,1,0.28072423954539627,5,0.7766,0.8648,18.7,54963.0,1.5
01047,"Dallas County, Alabama",38326,-0.22965,1,0.9020505945933003,5,0.9189,0.9555,31.0,35627.0,1.7
01049,"DeKalb County, Alabama",71680,0.10658,2,1.2622831965256105,5,0.756,0.7996,22.4,51204.0,4.4
01051,"Elmore County, Alabama",87694,0.2266,3,-0.4149299270071715,3,0.4397,0.3185,10.3,78243.0,1.6
01053,"Escambia County, Alabama",36755,-0.03663,1,0.4984377373358047,5,0.8473,0.9462,20.0,48225.0,0.8
01055,"Etowah County, Alabama",103348,0.12704,2,0.3451811048456611,5,0.672,0.7961,16.9,54563.0,2.0
01057,"Fayette County, Alabama",16297,0.14179,2,0.6199205721192169,5,0.7458,0.8514,21.8,49488.0,1.1
01059,"Franklin County, Alabama",32011,0.11069,2,0.7700345120191529,5,0.7576,0.6675,19.1,53338.0,2.8
01061,"Geneva County, Alabama",26647,0.11808,2,0.6132067051341372,5,0.5822,0.6729,19.2,52771.0,1.7
01063,"Greene County, Alabama",7706,-0.28517,1,1.5315059184639064,5,0.9157,0.9211,40.1,29200.0,3.1
01065,"Hale County, Alabama",14742,-0.2258,1,1.0080362051168532,5,0.8826,0.9341,24.6,39250.0,2.8
01067,"Henry County, Alabama",17282,0.10604,2,0.16254849314480047,4,0.6195,0.6519,18.3,59931.0,0.6
01069,"Houston County, Alabama",107040,0.09908,2,0.12327383891002734,4,0.7175,0.7703,17.5,58626.0,1.5
01071,"Jackson County, Alabama",52618,0.14306,2,0.44946745341139893,5,0.7194,0.8552,17.3,51908.0,1.7
01073,"Jefferson County, Alabama",672265,0.07616,2,-0.32962169879781905,3,0.7251,0.6802,15.7,66388.0,1.6
01075,"Lamar County, Alabama",13885,0.12558,2,0.539637936043651,5,0.4731,0.5654,18.0,50000.0,1.3
01077,"Lauderdale County, Alabama",94329,0.1645,2,-0.3378232705182876,3,0.4919,0.4687,12.2,62649.0,0.8
01079,"Lawrence County, Alabama",33116,0.11108,2,0.10433640647511362,4,0.3624,0.4652,13.3,66071.0,1.1
01081,"Lee County, Alabama",175126,0.14357,2,-0.28244900122752703,3,0.6446,0.5609,18.9,65824.0,2.0
01083,"Limestone County, Alabama",104199,0.26563,4,-0.46299215465765425,2,0.3233,0.3,10.0,83629.0,1.4
