fips,breast_suppressed,stomach_suppressed,cervix_suppressed
01001,0,0,1
01003,0,0,0
01005,0,1,1
01007,0,1,1
01009,0,0,1
01011,0,1,1
01013,0,1,1
01015,0,0,0
01017,0,0,1
01019,0,1,1
01021,0,1,1
01023,0,1,1
01025,0,1,1
01027,0,1,1
01029,0,1,1
01031,0,0,1
01033,0,0,1
01035,0,1,1
01037,0,1,1
01039,0,1,1
01041,0,1,1
01043,0,0,1
01045,0,1,1
01047,0,0,1
01049,0,0,1
01051,0,0,0
01053,0,0,1
01055,0,0,0
01057,0,1,1
01059,0,1,1
01061,0,1,1
01063,0,1,1
01065,0,1,1
01067,0,1,1
01069,0,0,0
01071,0,1,0
01073,0,0,0
01075,0,1,1
01077,0,0,1
01079,0,1,1
01081,0,0,0
01083,0,0,0
01085,0,1,1
01087,0,1,1
01089,0,0,0
01091,0,1,1
01093,0,1,1
01095,0,0,0
01097,0,0,0
01099,0,1,1
01101,0,0,0
01103,0,0,0
01105,0,1,1
01107,0,1,1
01109,0,1,1
01111,0,1,1
01113,0,0,0
01115,0,0,0
01117,0,0,0
01119,0,1,1
01121,0,0,0
01123,0,0,1
01125,0,0,0
01127,0,0,0
01129,0,1,1
01131,0,1,1
01133,0,1,1
02013,1,1,1
02016,1,1,1
02020,0,0,0
02050,0,0,1
02060,1,1,1
02068,1,1,1
02070,0,1,1
02090,0,0,1
02100,1,1,1
02105,0,1,1
02110,0,1,1
02122,0,0,1
02130,0,1,1
02150,0,1,1
02158,1,1,1
02164,1,1,1
02170,0,0,1
02180,0,1,1
02185,1,1,1
02188,1,1,1
02195,1,1,1
02198,1,1,1
02220,0,1,1
02230,1,1,1
02240,0,1,1
02275,1,1,1
02282,1,1,1
02290,0,1,1
04001,0,0,1
04003,0,0,0
04005,0,0,0
04007,0,0,1
04009,0,1,1
04011,1,1,1
04012,0,1,1
04013,0,0,0
04015,0,0,0
04017,0,0,0
04019,0,0,0
04021,0,0,0
04023,0,0,1
04025,0,0,0
04027,0,0,0
05001,0,0,1
05003,0,1,1
05005,0,1,1
05007,0,0,0
05009,0,0,1
05011,0,1,1
05013,0,1,1
05015,0,1,1
05017,0,1,1
05019,0,1,1
05021,0,1,1
05023,0,1,1
05025,0,1,1
05027,0,1,1
05029,0,1,1
05031,0,0,0
05033,0,0,0
05035,0,0,1
05037,0,1,1
05039,0,1,1
05041,0,1,1
05043,0,1,1
05045,0,0,0
05047,0,1,1
05049,0,1,1
05051,0,0,0
05053,0,1,1
05055,0,0,0
05057,0,1,1
05059,0,1,0
05061,0,1,1
05063,0,1,1
05065,0,1,1
05067,0,1,1
05069,0,0,1
05071,0,1,1
05073,0,1,1
05075,0,1,1
05077,0,1,1
05079,0,1,1
05081,0,1,1
05083,0,1,1
05085,0,0,0
05087,0,1,1
05089,0,1,1
05091,0,1,0
05093,0,0,1
05095,0,1,1
05097,0,1,1
05099,0,1,1
05101,0,1,1
05103,0,1,1
05105,0,1,1
05107,0,1,1
05109,0,1,1
05111,0,1,1
05113,0,1,1
05115,0,0,0
05117,0,1,1
05119,0,0,0
05121,0,1,1
05123,0,1,1
05125,0,0,0
05127,0,1,1
05129,0,1,1
05131,0,0,0
05133,0,1,1
05135,0,1,1
05137,0,1,1
05139,0,1,1
05141,0,1,1
05143,0,0,0
05145,0,0,0
05147,0,1,1
05149,0,1,1
06001,0,0,0
06003,1,1,1
06005,0,0,1
06007,0,0,0
06009,0,0,1
06011,0,1,1
06013,0,0,0
06015,0,1,1
06017,0,0,0
06019,0,0,0
06021,0,1,1
06023,0,0,0
06025,0,0,0
06027,0,1,1
06029,0,0,0
06031,0,0,0
06033,0,0,0
06035,0,1,1
06037,0,0,0
06039,0,0,0
06041,0,0,0
06043,0,1,1
06045,0,0,0
06047,0,0,0
06049,0,1,1
06051,0,1,1
06053,0,0,0
06055,0,0,0
06057,0,0,0
06059,0,0,0
06061,0,0,0
06063,0,1,1
06065,0,0,0
06067,0,0,0
06069,0,0,1
06071,0,0,0
06073,0,0,0
06075,0,0,0
06077,0,0,0
06079,0,0,0
06081,0,0,0
06083,0,0,0
06085,0,0,0
